emotion,category,title,description,imageUrl,contentUrl
기쁨,MUSIC,신나는 K-Pop 플레이리스트,텐션을 하늘 끝까지 올려줄 신나는 음악 모음!,https://img.youtube.com/vi/dQw4w9WgXcQ/0.jpg,https://www.youtube.com/watch?v=dQw4w9WgXcQ
기쁨,MUSIC,청량한 여름 팝송,햇살 같은 기분 좋은 여름 노래들,https://img.youtube.com/vi/jfKfPfyJRdk/0.jpg,https://www.youtube.com/watch?v=jfKfPfyJRdk
기쁨,MUSIC,댄스 파티 히트곡,함께 춤추고 싶은 신나는 댄스곡 모음,https://img.youtube.com/vi/5qap5aO4i9A/0.jpg,https://www.youtube.com/watch?v=5qap5aO4i9A
기쁨,MUSIC,행복한 아침 노래,새로운 하루를 시작하는 상쾌한 음악,https://img.youtube.com/vi/hFZFjoX2cGg/0.jpg,https://www.youtube.com/watch?v=hFZFjoX2cGg
기쁨,MUSIC,웃음 나는 신나는 노래,기분 좋게 웃게 만드는 유쾌한 팝송,https://img.youtube.com/vi/Y2V4yG1Yc3s/0.jpg,https://www.youtube.com/watch?v=Y2V4yG1Yc3s
기쁨,MUSIC,내적 댄스 유발 팝송,들으면서 자연스럽게 발끝이 춤추는 곡들,https://img.youtube.com/vi/09R8_2nJtjg/0.jpg,https://www.youtube.com/watch?v=09R8_2nJtjg
기쁨,MUSIC,기분 째지는 업템포,마음까지 밝아지는 빠른 템포의 노래,https://img.youtube.com/vi/OPf0YbXqDm0/0.jpg,https://www.youtube.com/watch?v=OPf0YbXqDm0
기쁨,MUSIC,햇살 좋은 날 플레이리스트,포근한 햇살과 함께 듣기 좋은 곡들,https://img.youtube.com/vi/ktvTqknxDjo/0.jpg,https://www.youtube.com/watch?v=ktvTqknxDm0
기쁨,MUSIC,밝은 에너지의 노래,에너지가 충전되는 긍정적인 음악,https://img.youtube.com/vi/2Vv-BfVoq4g/0.jpg,https://www.youtube.com/watch?v=2Vv-BfVoq4g
기쁨,MUSIC,기분 전환 좋은 팝송,마음이 다운될 때 듣기 좋은 팝송 모음,https://img.youtube.com/vi/7PCkvCPvDXk/0.jpg,https://www.youtube.com/watch?v=7PCkvCPvDXk
기쁨,HOBBY,새로운 요리 도전,기분 좋은 날, 평소 안 해본 특별한 요리를 만들어 보세요.,,
기쁨,ACTIVITY,한강 피크닉,날씨 좋은 날 친구들과 예쁜 돗자리를 펴고 피크닉 어때요?,,
기쁨,MOVIE,라라랜드,음악과 꿈, 그리고 사랑이 넘치는 눈과 귀가 즐거운 영화,https://upload.wikimedia.org/wikipedia/ko/3/3a/%EB%9D%BC%EB%9D%BC%EB%9E%9C%EB%93%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0.jpg,
기쁨,BOOK,아주 작은 습관의 힘,긍정적인 에너지를 모아 새로운 목표를 세우기 좋은 책,,
기쁨,MOVIE,어바웃 타임,매 순간의 소중함을 일깨워주는 따뜻한 영화예요. 지금 느끼는 행복을 더 깊이 음미해 보세요.,https://upload.wikimedia.org/wikipedia/ko/e/e1/About_Time_Poster.jpg,https://www.netflix.com/title/70261674
기쁨,MOVIE,인턴,새로운 도전에 대한 설렘과 기쁨을 느낄 수 있는 영화입니다. 긍정적인 에너지를 얻고 싶을 때 추천해요.,https://upload.wikimedia.org/wikipedia/ko/c/c2/The_Intern_poster.jpg,https://www.netflix.com/title/80045661
